*	h1		h2		h3		h4		h5		h6		h7		h8		h9		h10		h11		h12		h13		h14		h15		h16		h17		h18		h19		h20		h21		h22		h23		h24
	1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		17		18		19		20		21		22		23		24
as1	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752	5.284616752
as2	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288
as3	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288	5.889983288
as4	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374	6.208698374
as5	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052	6.692083052
as6	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702	7.069353702
as7	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159	7.436969159
as8	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703	7.496851703
as9	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669	7.558400669
as10	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609	7.979117609
